,movieId,rating,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,n_rating
40,44,2.54,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46
41,45,3.31,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32
42,46,3.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15
43,47,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,203
44,48,3.15,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,68
45,49,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
46,50,4.24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,204
47,52,3.46,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,28
48,53,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
49,54,2.33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
50,55,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
51,57,3.06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
52,58,4.03,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,37
53,60,3.24,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34
54,61,3.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
55,62,3.71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80
56,63,2.71,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
57,64,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
58,65,2.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
59,66,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9
60,68,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
61,69,3.78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
62,70,3.51,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,55
63,71,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
64,72,3.21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
65,73,3.46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13
66,74,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
67,75,2.2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
68,76,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15
69,77,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
70,78,3.33,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3
71,79,2.76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17
72,80,4.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
73,81,3.11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,14
74,82,3.88,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
75,83,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
76,85,3.86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
77,86,3.97,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
78,87,2.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
79,88,3.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
80,89,3.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
81,92,2.62,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8
82,93,2.83,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9
83,94,3.95,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10
84,95,3.02,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,84
85,96,3.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
86,97,3.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10
87,99,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
88,100,2.79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14
89,101,3.78,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23
90,102,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
91,103,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3
92,104,3.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
93,105,3.28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,23
94,106,4.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
95,107,3.33,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26
96,108,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
97,110,4.03,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,237
98,111,4.11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,104
99,112,3.54,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46
100,113,3.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
101,116,3.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
102,117,3.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
103,118,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
104,119,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
105,121,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
106,122,2.66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16
107,123,4.38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4
108,125,3.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
109,126,2.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
110,128,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
111,129,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
112,132,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
113,135,2.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
114,137,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
115,140,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,16
116,141,3.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
117,144,3.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
118,145,3.25,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,51
119,146,3.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
120,147,3.47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
121,148,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
122,149,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
123,150,3.85,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,201
124,151,3.55,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,44
125,152,1.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
126,153,2.92,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,137
127,154,3.88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
128,155,2.42,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6
129,156,3.33,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
130,157,2.86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
131,158,2.81,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
132,159,2.89,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,14
133,160,2.88,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,57
134,161,3.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,103
135,162,4.21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17
136,163,3.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,66
137,164,3.32,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,14
138,165,3.56,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,144
139,166,2.83,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
140,168,3.08,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,54
141,169,2.4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
142,170,3.23,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,35
143,171,3.83,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
144,172,2.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,53
145,173,2.67,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,62
146,174,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
147,175,3.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20
148,176,4.31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
149,177,2.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
150,178,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
151,179,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
152,180,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36
153,181,2.26,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
154,183,3.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
155,184,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
156,185,3.04,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,112
157,186,2.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48
158,187,4.12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
159,188,3.46,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,12
160,189,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
161,190,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
162,191,2.42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
163,193,2.47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35
164,194,3.67,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18
165,195,3.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10
166,196,2.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,45
167,198,3.25,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,28
168,199,4.12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4
169,201,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
170,202,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
171,203,3.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
172,204,2.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
173,205,3.17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
174,206,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
175,207,3.43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21
176,208,2.91,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,115
177,209,3.17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
178,210,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
179,211,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
180,212,3.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
181,213,3.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
182,214,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
183,215,4.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,24
184,216,3.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
185,217,2.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
186,218,3.43,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14
187,219,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
188,220,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
189,222,3.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,16
190,223,3.86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
191,224,3.61,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,40
192,225,3.54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,52
193,227,2.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
194,228,2.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
195,229,3.43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7
196,230,3.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24
197,231,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
198,232,3.89,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14
199,233,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
200,234,2.59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
201,235,3.68,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70
202,236,3.48,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45
203,237,3.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22
204,238,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
205,239,3.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17
206,240,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
207,241,4.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
208,242,3.6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5
209,243,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
210,246,4.29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29
211,247,3.93,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,21
212,248,3.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
213,249,3.72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,18
214,250,2.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
215,251,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
216,252,3.45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43
217,253,3.46,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,109
218,254,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
219,255,2.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
220,256,2.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35
221,257,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14
222,258,2.6,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10
223,259,3.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5
224,260,4.23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,251
225,261,3.88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42
226,262,3.9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21
227,263,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
228,265,3.94,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,33
229,266,3.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,68
230,267,2.94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
231,269,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
232,270,3.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
233,271,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
234,272,3.76,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31
235,273,2.95,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,28
236,274,2.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
237,275,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
238,276,3.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22
239,277,3.22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38
240,278,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
241,279,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
242,280,4.08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13
243,281,3.79,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14
244,282,3.34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40
245,283,3.67,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
246,284,4.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
247,285,4.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
248,287,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
249,288,3.23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,92
250,289,3.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
251,290,4.04,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14
252,291,2.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
253,292,3.43,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,101
254,293,4.02,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,133
255,294,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
256,295,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
257,296,4.2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,307
258,298,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
259,299,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
260,300,3.52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81
261,301,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
262,302,3.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
263,303,2.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,32
264,304,3.67,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
265,305,2.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
266,306,4.22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16
267,307,3.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24
268,308,4.03,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20
269,310,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
270,311,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
271,312,1.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
272,313,3.33,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
273,314,3.75,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,16
274,315,3.08,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,38
